trade_date,open,high,low,close,tr_raw,atr,atr_pct,atr_14
2025-07-03,86.38,86.73,85.78,86.24,,,,
2025-07-04,86.0,87.2,84.86,85.8,2.3400000000000034,2.3400000000000034,2.7272727272727315,2.3400000000000034
2025-07-07,85.69,86.86,85.37,85.48,1.4899999999999949,2.2590476190476214,2.6427791519040964,2.2266666666666692
2025-07-08,85.49,86.85,85.18,86.74,1.6699999999999875,2.2029478458049896,2.539713910312416,2.152444444444445
2025-07-09,86.65,86.86,85.52,85.85,1.3400000000000034,2.120762336680705,2.4703113997445607,2.0441185185185193
2025-07-10,85.61,86.17,85.5,85.67,0.6700000000000017,1.9825944950920666,2.3142225926135946,1.8609027160493836
2025-07-11,85.7,89.34,85.4,88.16,3.9399999999999977,2.16901406698806,2.4603154117378176,2.1381156872427987
2025-07-14,88.3,88.49,87.47,87.52,1.019999999999996,2.05958415584634,2.3532725729505715,1.989033595610425
2025-07-15,87.15,87.95,86.61,87.89,1.3400000000000034,1.9910523314800221,2.2653912065991832,1.902495782862369
2025-07-16,87.73,88.2,86.77,87.12,1.4300000000000068,1.937618776100973,2.224080321511677,1.8394963451473876
2025-07-17,87.06,89.0,86.32,88.79,2.680000000000007,2.008321749805643,2.261878308149164,1.9515634991277369
2025-07-18,88.75,89.13,87.93,88.51,1.1999999999999886,1.9313387260146282,2.18205708509166,1.8513550325773704
2025-07-21,88.45,89.52,88.04,89.02,1.4799999999999898,1.8883540854418055,2.1212694736484,1.8018410282337198
2025-07-22,88.7,90.55,88.5,89.08,2.049999999999997,1.9037489344473475,2.137122737367925,1.8349288911358903
2025-07-23,88.9,90.19,88.3,89.39,1.8900000000000006,1.9024395121190287,2.1282464617060395,1.842271705651105
2025-07-24,89.1,92.9,89.0,91.75,3.9000000000000057,2.0926833681076933,2.280853807201846,2.1166354782309584
2025-07-25,91.74,93.68,90.99,93.47,2.690000000000012,2.149570666383152,2.299743946060931,2.193084081133499
2025-07-28,93.64,93.69,91.96,92.18,1.730000000000004,2.109611555299043,2.2885783850065553,2.1313395369823662
2025-07-29,92.0,92.63,90.81,92.17,1.8199999999999932,2.0820295024134188,2.2589014890022985,2.08982759871805
2025-07-30,91.7,91.83,89.74,90.36,2.430000000000007,2.1151695498026175,2.3408250883163095,2.1351839188889774
2025-07-31,90.32,92.75,89.46,89.5,3.2900000000000063,2.227058164107131,2.4883331442537777,2.289159396370448
2025-08-01,89.2,90.33,88.02,88.29,2.3100000000000023,2.234957386573119,2.5313822477892387,2.2919381435210555
2025-08-04,87.95,90.63,87.88,90.07,2.75,2.284009064042346,2.535815547954198,2.353013057718248
2025-08-05,89.85,90.58,89.58,90.0,1.0,2.1617224865145035,2.401913873905004,2.1726113166891485
2025-08-06,89.86,91.0,89.53,90.78,1.4699999999999989,2.095844154465503,2.3087069337579895,2.078929807797262
2025-08-07,90.7,91.7,89.75,90.59,1.9500000000000028,2.0819542349925984,2.2982163980490102,2.0617391667576275
2025-08-08,88.0,88.5,86.66,86.66,3.930000000000007,2.2579585935647324,2.6055372646719737,2.3108406111899447
2025-08-11,86.69,87.18,86.22,86.96,0.960000000000008,2.134343489415711,2.4543968369545897,2.130728529697953
2025-08-12,86.95,90.1,86.42,88.52,3.6799999999999926,2.2815488713761187,2.5774388515319915,2.3372980590715584
2025-08-13,88.01,89.23,88.0,88.66,1.230000000000004,2.1814013598164887,2.4604120909276888,2.189658317862018
2025-08-14,88.69,92.58,88.69,89.46,3.9200000000000017,2.346982182691109,2.6234989746155923,2.420370542147083
2025-08-15,89.0,93.3,88.48,91.84,4.819999999999993,2.582507689101479,2.811963947192377,2.740321136527471
2025-08-18,93.5,95.17,91.36,92.31,3.8100000000000023,2.6994117187108624,2.9242895880304003,2.882944984990475
2025-08-19,91.67,92.48,89.35,89.35,3.1300000000000097,2.740420126452686,3.067062256802111,2.915885653658413
2025-08-20,89.4,92.49,88.19,92.28,4.299999999999997,2.8889515429810015,3.1306366959048564,3.100434233170624
2025-08-21,92.3,94.11,90.8,91.05,3.3100000000000023,2.92905139603043,3.216970231774223,3.1283763354145413
2025-08-22,92.5,105.0,92.42,103.97,13.950000000000003,3.978665548789437,3.8267438191684495,4.5712594906926025
2025-08-25,106.0,109.24,101.1,103.17,8.14,4.374983115571395,4.240557444578264,5.047091558600256
2025-08-26,101.0,102.57,100.13,100.93,3.0400000000000063,4.247841866469358,4.208700947656156,4.77947935078689
2025-08-27,102.2,106.69,100.59,101.51,6.099999999999994,4.4242378791865615,4.358425651843721,4.95554877068197
2025-08-28,102.0,119.22,101.99,119.22,17.709999999999994,5.689548557359269,4.772310482602977,6.656142267924373
2025-08-29,114.0,116.0,112.26,114.76,6.959999999999994,5.810543932848862,5.063213604782906,6.6966566322011225
2025-09-09,102.0,108.65,101.2,102.99,13.560000000000002,6.548587367815638,6.358469140514261,7.611769081240974
2025-09-10,103.0,105.96,102.13,103.91,3.8299999999999983,6.289674285166529,6.053001910467259,7.107533203742177
2025-09-11,102.62,112.8,99.98,110.28,12.819999999999993,6.911610067531621,6.267328679299619,7.869195443243219
2025-09-12,109.28,112.49,108.01,108.42,4.47999999999999,6.680028156338133,6.161250835951053,7.417302717477456
2025-09-15,110.55,112.55,107.5,108.66,5.049999999999997,6.5247873795440245,6.004773955037755,7.101662355147129
2025-09-16,109.0,111.86,108.09,109.78,3.769999999999996,6.262426676730308,5.704524209082081,6.657440707794178
2025-09-17,110.8,120.8,109.8,117.39,11.019999999999996,6.715528897994087,5.720699291246347,7.239115280088287
2025-09-18,119.98,127.49,116.35,122.15,11.14,7.136907098185127,5.842740154060685,7.759233242743182
2025-09-19,123.0,127.4,120.11,121.34,7.290000000000006,7.151487374548449,5.8937591680801455,7.696668810377426
2025-09-22,120.54,129.83,119.05,128.92,10.780000000000015,7.497060005543836,5.815280798591248,8.107779635660439
2025-09-23,127.64,129.33,122.63,128.51,6.700000000000017,7.421149528825377,5.774764243113671,7.920075684239049
2025-09-24,126.88,137.98,126.23,134.98,11.749999999999986,7.833421002270578,5.803393837806029,8.43073225967384
2025-09-25,133.0,137.8,132.31,134.11,5.490000000000009,7.610238049673381,5.674623853309507,8.038634625050664
2025-09-26,132.71,135.95,131.2,132.27,4.75,7.337834425894964,5.547618073557846,7.600150008377241
2025-09-29,131.0,136.02,129.16,136.02,6.860000000000014,7.292326385333539,5.361216280939229,7.501463340593611
2025-09-30,138.5,142.0,136.6,140.13,5.97999999999999,7.167342920063677,5.11478121748639,7.298601561847795
2025-10-09,144.0,153.0,137.0,138.91,16.0,8.008548356248088,5.765278494167511,8.45878802026809
2025-10-10,134.87,134.94,127.17,127.95,11.739999999999995,8.36392470327208,6.536869639134099,8.89628295089901
2025-10-13,126.0,136.48,126.0,136.47,10.47999999999999,8.565455683912834,6.276438546136759,9.107445224112475
2025-10-14,136.96,137.8,125.8,127.2,12.000000000000014,8.892555142587803,6.991002470587896,9.493119194230813
2025-10-15,127.18,129.73,124.6,129.56,5.1299999999999955,8.53421655757944,6.58707668846823,8.911369968333371
2025-10-16,127.8,130.28,126.6,127.3,3.680000000000007,8.071910218762351,6.340856416938218,8.21385397255559
2025-10-17,126.85,127.32,120.87,121.98,6.449999999999989,7.917442578880221,6.490771092703904,7.97867344288151
2025-10-20,124.1,125.18,121.69,122.63,3.490000000000009,7.49578138089163,6.112518454612762,7.38018365049731
2025-10-21,123.8,127.85,122.61,127.19,5.239999999999995,7.280945058901951,5.724463447520993,7.0948258304310015
2025-10-22,125.42,129.27,123.81,126.81,5.460000000000008,7.107521719958909,5.604859017395244,6.876849053040203
2025-10-23,125.18,128.5,124.01,128.3,4.489999999999995,6.858233937105679,5.345466825491565,6.558602512634842
2025-10-24,130.3,134.8,128.9,134.06,6.5,6.82411641928609,5.090344934571155,6.550788844283529
2025-10-27,137.5,137.5,132.3,134.5,5.199999999999989,6.669438665068367,4.958690457299901,6.370683665045724
2025-10-28,133.0,135.8,132.0,132.69,3.8000000000000114,6.396158792204714,4.820377415181787,6.027925843039629
2025-10-29,132.0,134.53,130.31,133.0,4.219999999999999,6.188905573899503,4.653312461578574,5.7868690639676785
2025-10-30,133.0,133.0,128.51,128.55,4.490000000000009,6.027105043051932,4.688529788449578,5.61395318877199
2025-10-31,128.03,128.7,124.18,124.18,4.519999999999982,5.883571229427938,4.737937855876902,5.468092763602389
2025-11-03,122.0,122.6,117.55,120.21,6.63000000000001,5.954659683768136,4.953547694674433,5.623013728455405
2025-11-04,121.0,122.66,119.0,119.88,3.6599999999999966,5.736120666266408,4.784885440662669,5.36127856466135
2025-11-05,116.9,121.1,116.5,119.78,4.599999999999994,5.627918698050559,4.698546249833494,5.259774756039836
2025-11-06,121.9,125.99,121.05,124.85,6.209999999999994,5.683355012521933,4.552146585920651,5.386471455234524
2025-11-07,122.93,124.18,122.05,122.11,2.799999999999997,5.40874977323413,4.4294077251937845,5.041608594536587
2025-11-10,122.13,122.95,118.76,120.01,4.189999999999998,5.292678366259451,4.410197788733814,4.928060781931709
2025-11-11,120.6,121.47,117.53,117.73,3.9399999999999977,5.163851855187122,4.386181818726851,4.796319344340814
2025-11-12,117.0,119.8,115.74,119.63,4.060000000000002,5.058723107074063,4.228640898665939,4.698143431762039
2025-11-13,118.99,123.33,117.8,123.1,5.530000000000001,5.103606620686056,4.145903022490704,4.809057640860435
2025-11-14,123.0,125.5,117.89,118.18,7.609999999999999,5.342310752049289,4.520486336139185,5.182516622079044
