trade_date,close,MA5,MA15
2026-02-09,114.93,114.06,120.56
2026-02-10,116.2,114.09,120.16
2026-02-11,115.01,114.13,119.35
2026-02-12,116.58,115.08,118.67
2026-02-13,116.93,115.93,118.13
2026-02-24,115.82,116.11,117.72
2026-02-25,116.13,116.09,117.2
2026-02-26,116.65,116.42,116.4
2026-02-27,115.0,116.11,115.91
2026-03-02,112.53,115.23,115.21
2026-03-03,108.31,113.72,114.63
2026-03-04,106.69,111.84,114.01
2026-03-05,106.9,109.89,113.48
2026-03-06,106.5,108.19,113.13
2026-03-09,105.14,106.71,112.62
2026-03-10,107.28,106.5,112.11
2026-03-11,107.1,106.58,111.5
2026-03-12,106.01,106.41,110.9
2026-03-13,107.06,106.52,110.27
2026-03-16,108.6,107.21,109.71
2026-03-17,106.02,106.96,109.06
2026-03-18,106.6,106.86,108.43
2026-03-19,105.96,106.85,107.71
2026-03-20,102.18,105.87,106.86
2026-03-23,98.04,103.76,105.89
2026-03-24,99.25,102.41,105.29
2026-03-25,99.99,101.08,104.84
2026-03-26,96.88,99.27,104.17
2026-03-27,97.5,98.33,103.57
2026-03-30,95.83,97.89,102.95
2026-03-31,94.05,96.85,102.07
2026-04-01,96.33,96.12,101.35
2026-04-02,93.2,95.38,100.5
2026-04-03,91.78,94.24,99.48
2026-04-07,95.62,94.2,98.62
2026-04-08,101.18,95.62,98.29
2026-04-09,99.72,96.3,97.83
2026-04-10,101.01,97.86,97.5
2026-04-13,100.64,99.63,97.4
2026-04-14,101.52,100.81,97.63
2026-04-15,103.91,101.36,97.94
2026-04-16,104.18,102.25,98.22
2026-04-17,105.23,103.1,98.78
2026-04-20,107.96,104.56,99.48
2026-04-21,107.46,105.75,100.25
2026-04-22,107.87,106.54,101.17
2026-04-23,105.98,106.9,101.82
2026-04-24,110.96,108.05,103.0
2026-04-27,116.58,109.77,104.65
2026-04-28,114.0,111.08,105.88
2026-04-29,112.47,112.0,106.63
2026-04-30,118.73,114.55,107.9
2026-05-06,123.1,116.98,109.37
2026-05-07,125.34,118.73,111.02
2026-05-08,120.31,119.99,112.27
2026-05-11,122.52,122.0,113.51
2026-05-12,121.98,122.65,114.7
2026-05-13,121.86,122.4,115.81
2026-05-14,117.9,120.91,116.47
2026-05-15,119.02,120.66,117.24
2026-05-18,117.62,119.68,117.89
2026-05-19,118.82,119.04,118.75
2026-05-20,133.81,121.43,120.27
2026-05-21,127.22,123.3,120.98
2026-05-22,131.33,125.76,122.14
2026-05-25,156.0,133.44,125.04
2026-05-26,149.18,139.51,127.07
2026-05-27,146.22,141.99,128.61
2026-05-28,153.7,147.29,130.5
2026-05-29,139.91,149.0,131.81
2026-06-01,132.44,144.29,132.47
2026-06-02,132.48,140.95,133.17
2026-06-03,134.0,138.51,133.98
2026-06-04,134.88,134.74,135.11
2026-06-05,127.4,132.24,135.67
2026-06-08,121.92,130.14,135.95
2026-06-09,127.3,129.1,136.52
2026-06-10,125.34,127.37,135.95
2026-06-11,127.4,125.87,135.97
2026-06-12,124.88,125.37,135.54
2026-06-15,130.52,127.09,133.84
2026-06-16,130.14,127.66,132.57
2026-06-17,134.7,129.53,131.8
2026-06-18,140.7,132.19,130.93
2026-06-22,145.59,136.33,131.31
2026-06-23,141.7,138.57,131.93
2026-06-24,151.53,142.84,133.2
2026-06-25,156.86,147.28,134.72
2026-06-26,148.76,148.89,135.65
2026-06-29,151.0,149.97,137.22
2026-06-30,158.82,153.39,139.68
2026-07-01,154.48,153.98,141.49
2026-07-02,144.1,151.43,142.75
2026-07-03,140.31,149.74,143.61
