ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2025-08-15,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,6288369.53,93.69,86.22,89.955,7.469999999999999,8.304152076038019,False,False
688981.SH,2025-08-18,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,7749849.746,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-19,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,6762914.098,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-20,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,858745.56,7756060.795,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-21,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,606826.05,5593619.618,95.17,86.22,90.695,8.950000000000003,9.868239704504111,False,False
688981.SH,2025-08-22,92.5,105.0,92.42,103.97,91.05,12.92,14.19,2061948.09,20322967.7,105.0,86.22,95.61,18.78,19.642296830875434,False,False
688981.SH,2025-08-25,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695,1760636.98,18348502.386,109.24,86.22,97.72999999999999,23.019999999999996,23.554691496981476,False,False
688981.SH,2025-08-26,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,856074.09,8663988.281,109.24,86.22,97.72999999999999,23.019999999999996,23.554691496981476,False,False
688981.SH,2025-08-27,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1422620.71,14762335.293,109.24,86.22,97.72999999999999,23.019999999999996,23.554691496981476,False,False
688981.SH,2025-08-28,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,2420325.11,27118768.322,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-08-29,114.0,116.0,112.26,114.76,119.22,-4.46,-3.741,1639670.37,18711478.532,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-09,102.0,108.65,101.2,102.99,114.76,-11.77,-10.2562,1574695.7,16482005.03,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-10,103.0,105.96,102.13,103.91,102.99,0.92,0.8933,1039925.7,10822524.036,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-11,102.62,112.8,99.98,110.28,103.91,6.37,6.1303,1467501.66,15776091.423,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-12,109.28,112.49,108.01,108.42,110.28,-1.86,-1.6866,1159022.04,12730296.246,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-15,110.55,112.55,107.5,108.66,108.42,0.24,0.2214,946836.18,10395575.384,119.22,86.22,102.72,33.0,32.126168224299064,False,False
688981.SH,2025-09-16,109.0,111.86,108.09,109.78,108.66,1.12,1.0307,866259.24,9501062.259,119.22,86.42,102.82,32.8,31.900408480840305,False,False
688981.SH,2025-09-17,110.8,120.8,109.8,117.39,109.78,7.61,6.932,1528475.61,17861084.416,120.8,88.0,104.4,32.8,31.41762452107279,False,False
