total_trades,total_pnl,win_rate,avg_win,avg_loss,profit_factor,max_win,max_loss,max_dd,avg_hold,max_consecutive_loss,win_count,lose_count,stock,entry_period,stop_n,exit_period,data_days
4,-1511.1324836369179,0.5,471.49999999999966,1227.0662418184586,0.38424983422350306,550.9999999999991,-1280.1324836369163,-0.0015111309725059454,7.75,1,2,2,中芯A股(688981),55,1.5,10,237
2,1419.8675163630837,0.5,2700.0,1280.1324836369163,2.109156696289101,2700.0,-1280.1324836369163,-0.0012801312035057128,23.5,1,1,1,中芯A股(688981),55,1.5,15,237
4,69.99999999999886,0.5,1149.4999999999998,1114.5000000000005,1.0314042171377293,1443.9999999999998,-1174.000000000001,-0.001172540187466605,4.75,1,2,2,中芯A股(688981),55,2.0,5,237
4,-1883.0000000000011,0.5,471.49999999999966,1413.0000000000002,0.33368719037508815,550.9999999999991,-1651.9999999999995,-0.0018829981170018842,8.25,1,2,2,中芯A股(688981),55,2.0,10,237
2,1048.0000000000005,0.5,2700.0,1651.9999999999995,1.6343825665859568,2700.0,-1651.9999999999995,-0.0016519983480016516,24.5,1,1,1,中芯A股(688981),55,2.0,15,237
4,69.99999999999886,0.5,1149.4999999999998,1114.5000000000005,1.0314042171377293,1443.9999999999998,-1174.000000000001,-0.001172540187466605,4.75,1,2,2,中芯A股(688981),55,2.5,5,237
4,-1883.0000000000011,0.5,471.49999999999966,1413.0000000000002,0.33368719037508815,550.9999999999991,-1651.9999999999995,-0.0018829981170018842,8.25,1,2,2,中芯A股(688981),55,2.5,10,237
2,870.9999999999993,0.5,2700.0,1829.0000000000007,1.4762165117550567,2700.0,-1829.0000000000007,-0.0018289981710018297,30.0,1,1,1,中芯A股(688981),55,2.5,15,237
4,69.99999999999886,0.5,1149.4999999999998,1114.5000000000005,1.0314042171377293,1443.9999999999998,-1174.000000000001,-0.001172540187466605,4.75,1,2,2,中芯A股(688981),55,3.0,5,237
4,-1883.0000000000011,0.5,471.49999999999966,1413.0000000000002,0.33368719037508815,550.9999999999991,-1651.9999999999995,-0.0018829981170018842,8.25,1,2,2,中芯A股(688981),55,3.0,10,237
2,870.9999999999993,0.5,2700.0,1829.0000000000007,1.4762165117550567,2700.0,-1829.0000000000007,-0.0018289981710018297,30.0,1,1,1,中芯A股(688981),55,3.0,15,237
25,4682.727505081746,0.6,491.53333333333325,269.02724949182533,1.827076380782271,1645.0000000000002,-795.0000000000002,-0.001256027626765574,9.08,2,15,10,中芯港股(00981),10,1.5,5,640
18,4765.715585884215,0.5,840.1111111111111,310.587157123976,2.7049125884357377,2365.0,-795.0000000000002,-0.0012548443489978555,16.555555555555557,2,9,9,中芯港股(00981),10,1.5,10,640
12,6627.601455751777,0.5833333333333334,1216.857142857143,378.0797088496446,3.218520101381756,2729.9999999999995,-795.0000000000002,-0.0012543179195921251,29.5,2,7,5,中芯港股(00981),10,1.5,15,640
